"Country","Year","Total density per 100 000 population: Health posts","Total density per 100 000 population: Health centres","Total density per 100 000 population: District/rural hospitals","Total density per 100 000 population: Provincial hospitals","Total density per 100 000 population: Specialized hospitals","Total density per 100 000 population: Hospitals"
"Niger"," 2013","13.98","4.97","0.43","0.06","0.06","0.55"
"Niger"," 2010","16.07","5.71","0.50","0.07","0.06",""
"Oman"," 2013","2.78","2.04","0.96","0.28","0.11","1.35"
"Oman"," 2010","3.63","2.66","1.26","0.36","0.14",""
"Pakistan"," 2013","2.98","0.83","0.35","0.08","0.10","0.53"
"Pakistan"," 2010","3.13","0.87","0.37","0.09","0.10",""
"Panama"," 2013","12.42","10.04","0.39","0.34","0.18","0.91"
"Panama"," 2010","13.65","11.03","0.43","0.37","0.20",""
"Papua New Guinea"," 2013","35.51","9.25","1.22","0.26","0.10","1.57"
"Papua New Guinea"," 2010","37.91","9.87","1.30","0.28","0.10",""
"Paraguay"," 2013","9.66","1.73","2.06","0.12","0.25","2.43"
"Paraguay"," 2010","10.18","1.83","2.17","0.12","0.26",""
"Philippines"," 2013","","","1.48","0.22","0.12","1.81"
"Philippines"," 2010","","","1.56","0.23","0.13",""
"Poland"," 2013","","","0.18","0.61","0.15","0.94"
"Poland"," 2010","","","0.18","0.61","0.15",""
"Portugal"," 2013","3.08","0.18","","","",""
"Portugal"," 2010","3.06","0.18","","","",""
"Republic of Korea"," 2013","","56.47","2.77","0.56","0.09","3.42"
"Republic of Korea"," 2010","","57.73","2.83","0.57","0.09",""
"Republic of Moldova"," 2013","29.39","10.09","0.97","0.66","0.49","2.12"
"Republic of Moldova"," 2010","31.32","","0.95","0.59","0.50",""
"Republic of North Macedonia"," 2014","","1.71","0.76","1.66","1.66","4.08"
"Romania"," 2013","0.02","0.06","0.42","0.50","0.75","1.68"
"Romania"," 2010","0.02","0.06","0.43","0.51","0.76",""
"Russian Federation"," 2010","","","0.00","","",""
"Saint Kitts and Nevis"," 2013","0.00","31.37","3.69","3.69","0.00","7.38"
